Completed in 2481.314s

Best: 0.803030 using {'batch_size': 240, 'epochs': 475}
0.632576 (0.191278) with: {'batch_size': 24, 'epochs': 25}
0.659091 (0.188904) with: {'batch_size': 24, 'epochs': 50}
0.636364 (0.116349) with: {'batch_size': 24, 'epochs': 75}
0.583333 (0.152145) with: {'batch_size': 24, 'epochs': 100}
0.712121 (0.195345) with: {'batch_size': 24, 'epochs': 125}
0.689394 (0.170765) with: {'batch_size': 24, 'epochs': 150}
0.628788 (0.174806) with: {'batch_size': 24, 'epochs': 175}
0.768939 (0.103923) with: {'batch_size': 24, 'epochs': 200}
0.731061 (0.214381) with: {'batch_size': 24, 'epochs': 225}
0.636364 (0.128261) with: {'batch_size': 24, 'epochs': 250}
0.712121 (0.197870) with: {'batch_size': 24, 'epochs': 275}
0.662879 (0.195625) with: {'batch_size': 24, 'epochs': 300}
0.647727 (0.104595) with: {'batch_size': 24, 'epochs': 325}
0.606061 (0.153948) with: {'batch_size': 24, 'epochs': 350}
0.632576 (0.174381) with: {'batch_size': 24, 'epochs': 375}
0.651515 (0.194936) with: {'batch_size': 24, 'epochs': 400}
0.568182 (0.126964) with: {'batch_size': 24, 'epochs': 425}
0.606061 (0.172588) with: {'batch_size': 24, 'epochs': 450}
0.647727 (0.176960) with: {'batch_size': 24, 'epochs': 475}
0.617424 (0.155002) with: {'batch_size': 48, 'epochs': 25}
0.685606 (0.141382) with: {'batch_size': 48, 'epochs': 50}
0.678030 (0.210489) with: {'batch_size': 48, 'epochs': 75}
0.598485 (0.167046) with: {'batch_size': 48, 'epochs': 100}
0.568182 (0.126964) with: {'batch_size': 48, 'epochs': 125}
0.643939 (0.169941) with: {'batch_size': 48, 'epochs': 150}
0.670455 (0.138506) with: {'batch_size': 48, 'epochs': 175}
0.632576 (0.104469) with: {'batch_size': 48, 'epochs': 200}
0.719697 (0.152585) with: {'batch_size': 48, 'epochs': 225}
0.689394 (0.170701) with: {'batch_size': 48, 'epochs': 250}
0.704545 (0.108807) with: {'batch_size': 48, 'epochs': 275}
0.590909 (0.145758) with: {'batch_size': 48, 'epochs': 300}
0.617424 (0.148277) with: {'batch_size': 48, 'epochs': 325}
0.621212 (0.176190) with: {'batch_size': 48, 'epochs': 350}
0.632576 (0.194217) with: {'batch_size': 48, 'epochs': 375}
0.696970 (0.121987) with: {'batch_size': 48, 'epochs': 400}
0.678030 (0.144208) with: {'batch_size': 48, 'epochs': 425}
0.678030 (0.207676) with: {'batch_size': 48, 'epochs': 450}
0.640152 (0.190317) with: {'batch_size': 48, 'epochs': 475}
0.708333 (0.165957) with: {'batch_size': 72, 'epochs': 25}
0.636364 (0.160546) with: {'batch_size': 72, 'epochs': 50}
