Completed in 6262.875s

Best: 0.795455 using {'batch_size': 96, 'epochs': 300, 'lr': 0.001}
0.590909 (0.145758) with: {'batch_size': 24, 'epochs': 50, 'lr': 0.001}
0.602273 (0.151444) with: {'batch_size': 24, 'epochs': 50, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 24, 'epochs': 50, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 24, 'epochs': 50, 'lr': 0.1}
0.746212 (0.176484) with: {'batch_size': 24, 'epochs': 100, 'lr': 0.001}
0.568182 (0.126964) with: {'batch_size': 24, 'epochs': 100, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 24, 'epochs': 100, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 24, 'epochs': 100, 'lr': 0.1}
0.606061 (0.177398) with: {'batch_size': 24, 'epochs': 150, 'lr': 0.001}
0.583333 (0.140184) with: {'batch_size': 24, 'epochs': 150, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 24, 'epochs': 150, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 24, 'epochs': 150, 'lr': 0.1}
0.628788 (0.180993) with: {'batch_size': 24, 'epochs': 200, 'lr': 0.001}
0.647727 (0.124216) with: {'batch_size': 24, 'epochs': 200, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 24, 'epochs': 200, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 24, 'epochs': 200, 'lr': 0.1}
0.738636 (0.205666) with: {'batch_size': 24, 'epochs': 250, 'lr': 0.001}
0.568182 (0.126964) with: {'batch_size': 24, 'epochs': 250, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 24, 'epochs': 250, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 24, 'epochs': 250, 'lr': 0.1}
0.689394 (0.149953) with: {'batch_size': 24, 'epochs': 300, 'lr': 0.001}
0.590909 (0.158526) with: {'batch_size': 24, 'epochs': 300, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 24, 'epochs': 300, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 24, 'epochs': 300, 'lr': 0.1}
0.602273 (0.171730) with: {'batch_size': 24, 'epochs': 350, 'lr': 0.001}
0.617424 (0.094202) with: {'batch_size': 24, 'epochs': 350, 'lr': 0.005}
0.579545 (0.135553) with: {'batch_size': 24, 'epochs': 350, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 24, 'epochs': 350, 'lr': 0.1}
0.689394 (0.150761) with: {'batch_size': 24, 'epochs': 400, 'lr': 0.001}
0.617424 (0.178767) with: {'batch_size': 24, 'epochs': 400, 'lr': 0.005}
0.628788 (0.112393) with: {'batch_size': 24, 'epochs': 400, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 24, 'epochs': 400, 'lr': 0.1}
0.757576 (0.154858) with: {'batch_size': 24, 'epochs': 450, 'lr': 0.001}
0.568182 (0.126964) with: {'batch_size': 24, 'epochs': 450, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 24, 'epochs': 450, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 24, 'epochs': 450, 'lr': 0.1}
0.594697 (0.164616) with: {'batch_size': 24, 'epochs': 500, 'lr': 0.001}
0.613636 (0.174879) with: {'batch_size': 24, 'epochs': 500, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 24, 'epochs': 500, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 24, 'epochs': 500, 'lr': 0.1}
0.674242 (0.149052) with: {'batch_size': 48, 'epochs': 50, 'lr': 0.001}
0.568182 (0.126964) with: {'batch_size': 48, 'epochs': 50, 'lr': 0.005}
